Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Sale Amount Outlier
200594,2020,02/16/2021,Danbury,8 HICKORY ST,121600.0,146216.0,0.831646331,Residential,Single Family,25 - Other,I11192,HOUSE HAS SETTLED PER MLS,POINT (-73.44696 41.41179),False
200562,2020,02/03/2021,Danbury,19  MILL RD,263600.0,415000.0,0.635180723,Residential,Single Family,25 - Other,AFFORDABLE HOUSING / B15001-20-19,INCORRECT DATA PER TOWN RECORDS,POINT (-73.53692 41.38822),False
200260,2020,11/23/2020,Danbury,32 COALPIT HILL RD #4,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-4,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200148,2020,01/05/2021,Avon,23 CHEPACHET ROAD,165260.0,430000.0,0.384325581,Residential,Condo,07 - Change in Property,Includes 120&124 Pequot Road,TOTAL RENOVATION PER MLS,POINT (-72.91856 41.77954),False
200000411,2020,09/10/2021,Brookfield,11 BRISTOL PATH,3770.0,180000.0,0.020944444,Residential,Condo,25 - Other,GARAGE SOLD W/ CONDO,ALSO SEE #200000410,POINT (-73.39124 41.46698),False
200209,2020,05/03/2021,Colchester,28 PHOENIX RD,19300.0,10000.0,1.93,Residential,Single Family,25 - Other,MOBILE HOME,RATIO - NO MLS,POINT (-72.40695 41.57147),False
200262,2020,11/23/2020,Danbury,32 COALPIT HILL RD #6,84900.0,181778.0,0.467053219,Residential,Condo,25 - Other,J16087-6,MULTIPLE UNIT SALE,POINT (-73.43796 41.38549),False
200000410,2020,09/10/2021,Brookfield,11 BRISTOL PATH,132150.0,180000.0,0.734166667,Residential,Condo,25 - Other,SOLD W/ GARAGE,ALSO SEE #200000411,POINT (-73.39124 41.46698),False
200359,2020,12/14/2020,Danbury,1 E HAYESTOWN RD #155,167700.0,190000.0,0.882631579,Residential,Condo,25 - Other,I10051-155,PER MLS CASH SALE ONLY - BUYER WILL INHERIT NON PAYING OCCUPANT IN UNIT,POINT (-73.44901 41.4171),False
200403,2020,07/02/2021,East Lyme,249 OLD BLACK PT RD,2083410.0,6568750.0,0.317169933,Residential,Single Family,07 - Change in Property,WATERFRONT,"PER MLS HOUSE COMPLETED JAN. 2020 - ASSESSMENT ON TOWN CARD = $2,099,720",POINT (-72.21122 41.28831),False
